"Date","Price","Open","High","Low","Vol.","Change %"
"12/20/2019","2349.87","2340.72","2351.09","2339.24","","0.39%"
"12/19/2019","2340.65","2333.18","2341.03","2331.51","","0.32%"
"12/18/2019","2333.28","2336.47","2337.94","2333.11","","-0.14%"
"12/17/2019","2336.62","2336.95","2339.03","2335.06","","-0.04%"
"12/16/2019","2337.45","2319.52","2341.11","2319.52","","0.76%"
"12/13/2019","2319.73","2314.50","2329.51","2313.38","","0.45%"
"12/12/2019","2309.36","2297.33","2316.07","2295.80","","0.62%"
"12/11/2019","2295.02","2289.37","2298.87","2288.04","","0.23%"
"12/10/2019","2289.67","2292.34","2294.45","2285.65","","-0.13%"
"12/09/2019","2292.58","2298.68","2300.00","2292.35","","-0.17%"
"12/06/2019","2296.39","2279.14","2299.53","2279.12","","0.78%"
"12/05/2019","2278.63","2275.40","2281.48","2272.51","","0.14%"
"12/04/2019","2275.47","2262.84","2278.44","2260.39","","0.55%"
"12/03/2019","2263.10","2276.79","2277.24","2250.88","","-0.58%"
"12/02/2019","2276.40","2291.89","2296.59","2274.80","","-0.69%"
"11/29/2019","2292.26","2302.10","2302.86","2291.62","","-0.41%"
"11/28/2019","2301.79","2303.25","2303.72","2301.10","","-0.04%"
"11/27/2019","2302.67","2295.47","2302.84","2295.40","","0.34%"
"11/26/2019","2294.78","2291.85","2296.56","2290.13","","0.18%"
"11/25/2019","2290.65","2273.60","2290.70","2273.55","","0.74%"
"11/22/2019","2273.89","2269.62","2277.42","2268.76","","0.16%"
"11/21/2019","2270.36","2275.52","2275.52","2264.90","","-0.20%"
